,date,provider,video_id,page_link,download_link,title,description,thumbnail_default,thumbnail_medium,thumbnail_high,downloaded
0,2019-07-12T19:16:37.000Z,youtube,VT2o4KCEbes,0,0,4. Transactions and the UTXO model,"MIT MAS.S62 Cryptocurrency Engineering and Design, Spring 2018",https://i.ytimg.com/vi/VT2o4KCEbes/default.jpg,https://i.ytimg.com/vi/VT2o4KCEbes/mqdefault.jpg,https://i.ytimg.com/vi/VT2o4KCEbes/hqdefault.jpg,True
1,2019-07-10T17:28:27.000Z,youtube,YcxHJcGU8u0,0,0,"Class 4, Part 2: The Challenge from Globalization for Advanced Manufacturing and New Services","MIT STS.081 Innovation Systems for Science, Technology, Energy, Manufacturing, and Health, Spring 2017",https://i.ytimg.com/vi/YcxHJcGU8u0/default.jpg,https://i.ytimg.com/vi/YcxHJcGU8u0/mqdefault.jpg,https://i.ytimg.com/vi/YcxHJcGU8u0/hqdefault.jpg,True
2,2019-07-12T19:16:37.000Z,youtube,1Qws70XGSq4,0,0,5. Synchronization Process and Pruning,"MIT MAS.S62 Cryptocurrency Engineering and Design, Spring 2018",https://i.ytimg.com/vi/1Qws70XGSq4/default.jpg,https://i.ytimg.com/vi/1Qws70XGSq4/mqdefault.jpg,https://i.ytimg.com/vi/1Qws70XGSq4/hqdefault.jpg,True
3,2019-05-11T05:00:27.000Z,youtube,YGpxOuDJdJw,0,0,7. Cost Estimation,"MIT 1.258J Public Transportation Systems, Spring 2017",https://i.ytimg.com/vi/YGpxOuDJdJw/default.jpg,https://i.ytimg.com/vi/YGpxOuDJdJw/mqdefault.jpg,https://i.ytimg.com/vi/YGpxOuDJdJw/hqdefault.jpg,True
4,2018-12-20T20:15:38.000Z,youtube,TtaWB0bL3zQ,0,0,"Making Something From Nothing: Intentional Public Disruptions, Art, and Social Responsibility","MIT RES.11-002 Intentional Public Disruptions: Art, Responsibility, and Pedagogy, Fall 2017",https://i.ytimg.com/vi/TtaWB0bL3zQ/default.jpg,https://i.ytimg.com/vi/TtaWB0bL3zQ/mqdefault.jpg,https://i.ytimg.com/vi/TtaWB0bL3zQ/hqdefault.jpg,True
5,2018-04-30T16:25:08.000Z,youtube,GRc5GKMNuho,0,0,Session 4.2: Fixing the Carbon Footprint,"MIT RES.ENV-001 Climate Action Hands-On: Harnessing Science with Communities to Cut Carbon, IAP 2017",https://i.ytimg.com/vi/GRc5GKMNuho/default.jpg,https://i.ytimg.com/vi/GRc5GKMNuho/mqdefault.jpg,https://i.ytimg.com/vi/GRc5GKMNuho/hqdefault.jpg,True
6,2017-10-23T14:26:06.000Z,youtube,63hAHbkzJG4,0,0,Three Steps to Cut Your Carbon Footprint 60% Today | Jackson Carpenter | TEDxAsheville,"Not all carbon is created equal. Writer Jackson Carpenter argues that the power to stop climate change rests on recognizing different kinds of carbon – a shift in perspective that allows us to change the world without changing our lifestyles. Jackson Carpenter has ten years’ experience working on solutions to climate change and the development of alternative fuels. He is a climate writer and member of the Collider in Asheville, NC, collaborating with scientists and businesses to address climate change. He is a coauthor of the Collider’s Business of Climate Report, and his upcoming book Carbon retells the story of climate change from a unique perspective that illuminates the commonsense solutions at our fingertips. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. Learn more at https://www.ted.com/tedx",https://i.ytimg.com/vi/63hAHbkzJG4/default.jpg,https://i.ytimg.com/vi/63hAHbkzJG4/mqdefault.jpg,https://i.ytimg.com/vi/63hAHbkzJG4/hqdefault.jpg,True
7,2019-09-04T20:16:19.000Z,youtube,o7h_sYMk_oc,0,0,1. Introduction and Matrix Multiplication,"MIT 6.172 Performance Engineering of Software Systems, Fall 2018",https://i.ytimg.com/vi/o7h_sYMk_oc/default.jpg,https://i.ytimg.com/vi/o7h_sYMk_oc/mqdefault.jpg,https://i.ytimg.com/vi/o7h_sYMk_oc/hqdefault.jpg,True
8,2016-07-28T19:07:14.000Z,youtube,ZcPNcoTbkIU,0,0,"Session 1, Part 1: Introduction and Overview of Business Plans","MIT 15.S21 Nuts and Bolts of Business Plans, IAP 2014",https://i.ytimg.com/vi/ZcPNcoTbkIU/default.jpg,https://i.ytimg.com/vi/ZcPNcoTbkIU/mqdefault.jpg,https://i.ytimg.com/vi/ZcPNcoTbkIU/hqdefault.jpg,True
9,2019-07-31T15:15:20.000Z,youtube,nykOeWgQcHM,0,0,1. What is Computation?,"MIT 6.0001 Introduction to Computer Science and Programming in Python, Fall 2016",https://i.ytimg.com/vi/nykOeWgQcHM/default.jpg,https://i.ytimg.com/vi/nykOeWgQcHM/mqdefault.jpg,https://i.ytimg.com/vi/nykOeWgQcHM/hqdefault.jpg,True
10,2019-07-12T19:16:38.000Z,youtube,IJquEYhiq_U,0,0,"1. Signatures, Hashing, Hash Chains, e-cash, and Motivation","MIT MAS.S62 Cryptocurrency Engineering and Design, Spring 2018",https://i.ytimg.com/vi/IJquEYhiq_U/default.jpg,https://i.ytimg.com/vi/IJquEYhiq_U/mqdefault.jpg,https://i.ytimg.com/vi/IJquEYhiq_U/hqdefault.jpg,True
11,2019-09-20T18:58:04.000Z,youtube,7LyvAVjQUR8,0,0,1. Radiation History to the Present — Understanding the Discovery of the Neutron,"MIT 22.01 Introduction to Nuclear Engineering and Ionizing Radiation, Fall 2016",https://i.ytimg.com/vi/7LyvAVjQUR8/default.jpg,https://i.ytimg.com/vi/7LyvAVjQUR8/mqdefault.jpg,https://i.ytimg.com/vi/7LyvAVjQUR8/hqdefault.jpg,True
12,2019-09-23T17:41:42.000Z,youtube,H-1-X9bkop8,0,0,2. Bentley Rules for Optimizing Work,"MIT 6.172 Performance Engineering of Software Systems, Fall 2018",https://i.ytimg.com/vi/H-1-X9bkop8/default.jpg,https://i.ytimg.com/vi/H-1-X9bkop8/mqdefault.jpg,https://i.ytimg.com/vi/H-1-X9bkop8/hqdefault.jpg,True
13,2016-07-28T19:07:13.000Z,youtube,Lau7bwQAWr4,0,0,"Session 1, Part 2: Refining and Presenting Your Venture Idea","MIT 15.S21 Nuts and Bolts of Business Plans, IAP 2014",https://i.ytimg.com/vi/Lau7bwQAWr4/default.jpg,https://i.ytimg.com/vi/Lau7bwQAWr4/mqdefault.jpg,https://i.ytimg.com/vi/Lau7bwQAWr4/hqdefault.jpg,True
14,2017-02-15T14:25:50.000Z,youtube,0jljZRnHwOI,0,0,2. Branching and Iteration,"MIT 6.0001 Introduction to Computer Science and Programming in Python, Fall 2016",https://i.ytimg.com/vi/0jljZRnHwOI/default.jpg,https://i.ytimg.com/vi/0jljZRnHwOI/mqdefault.jpg,https://i.ytimg.com/vi/0jljZRnHwOI/hqdefault.jpg,True
15,2019-07-12T19:16:37.000Z,youtube,zYzEmBlJ77s,0,0,2. Proof of Work and Mining,"MIT MAS.S62 Cryptocurrency Engineering and Design, Spring 2018",https://i.ytimg.com/vi/zYzEmBlJ77s/default.jpg,https://i.ytimg.com/vi/zYzEmBlJ77s/mqdefault.jpg,https://i.ytimg.com/vi/zYzEmBlJ77s/hqdefault.jpg,True
16,2019-09-20T18:58:04.000Z,youtube,NXrGOd7gdMw,0,0,2. Radiation Utilizing Technology,"MIT 22.01 Introduction to Nuclear Engineering and Ionizing Radiation, Fall 2016",https://i.ytimg.com/vi/NXrGOd7gdMw/default.jpg,https://i.ytimg.com/vi/NXrGOd7gdMw/mqdefault.jpg,https://i.ytimg.com/vi/NXrGOd7gdMw/hqdefault.jpg,True
17,2019-09-23T17:41:42.000Z,youtube,ZusiKXcz_ac,0,0,3. Bit Hacks,"MIT 6.172 Performance Engineering of Software Systems, Fall 2018",https://i.ytimg.com/vi/ZusiKXcz_ac/default.jpg,https://i.ytimg.com/vi/ZusiKXcz_ac/mqdefault.jpg,https://i.ytimg.com/vi/ZusiKXcz_ac/hqdefault.jpg,True
18,2016-07-28T19:07:14.000Z,youtube,Azq6S6Hx0gU,0,0,"Session 2, Part 1: Marketing and Sales","MIT 15.S21 Nuts and Bolts of Business Plans, IAP 2014",https://i.ytimg.com/vi/Azq6S6Hx0gU/default.jpg,https://i.ytimg.com/vi/Azq6S6Hx0gU/mqdefault.jpg,https://i.ytimg.com/vi/Azq6S6Hx0gU/hqdefault.jpg,True
19,2017-02-15T14:25:51.000Z,youtube,SE4P7IVCunE,0,0,"3. String Manipulation, Guess and Check, Approximations, Bisection","MIT 6.0001 Introduction to Computer Science and Programming in Python, Fall 2016",https://i.ytimg.com/vi/SE4P7IVCunE/default.jpg,https://i.ytimg.com/vi/SE4P7IVCunE/mqdefault.jpg,https://i.ytimg.com/vi/SE4P7IVCunE/hqdefault.jpg,True
20,2019-07-12T19:16:37.000Z,youtube,0Q5IimX-AAc,0,0,3. Signatures,"MIT MAS.S62 Cryptocurrency Engineering and Design, Spring 2018",https://i.ytimg.com/vi/0Q5IimX-AAc/default.jpg,https://i.ytimg.com/vi/0Q5IimX-AAc/mqdefault.jpg,https://i.ytimg.com/vi/0Q5IimX-AAc/hqdefault.jpg,True
